id,ballkid,year,court,count,duration
7220013,542,2024,Stadium,3,3:00:00
7220012,597,2024,Grandstand,5,5:00:00
7220011,597,2024,Court 5,5,1:15:50.232545
7220010,597,2024,Harris,9,8:47:56.519384
7220009,597,2024,Court 4,5,2:04:01.987076
7220008,597,2024,Stadium,13,12:00:40.868938
7220007,599,2024,Grandstand,4,4:00:00
7220006,599,2024,Court 5,3,3:00:00
7220005,599,2024,Harris,10,8:04:32.735865
7220004,599,2024,Court 4,2,2:00:00
7220003,599,2024,Stadium,9,8:33:37.572543
7220002,561,2024,Grandstand,2,2:00:00
7220001,561,2024,Court 5,2,2:00:00
7220000,561,2024,Harris,1,1:00:00
7219999,561,2024,Court 4,1,1:00:00
7219998,561,2024,Stadium,2,2:00:00
7219997,571,2024,Grandstand,1,1:00:00
7219996,571,2024,Court 5,1,1:00:00
7219995,571,2024,Harris,1,0:57:24.167910
7219994,571,2024,Court 4,0,0:00:00
7219993,571,2024,Stadium,1,0:37:40.489571
7219992,544,2024,Grandstand,6,5:50:03.264707
7219991,544,2024,Court 5,5,4:26:10.760840
7219990,544,2024,Harris,8,7:49:11.990838
7219989,544,2024,Court 4,6,6:00:00
7219988,544,2024,Stadium,6,5:28:30.366129
7219987,602,2024,Grandstand,0,0:00:00
7219986,602,2024,Court 5,0,0:00:00
7219985,602,2024,Harris,0,0:00:00
7219984,602,2024,Court 4,1,0:58:41.166828
7219983,602,2024,Stadium,0,0:00:00
7219982,521,2024,Grandstand,6,6:00:00
7219981,521,2024,Court 5,5,3:23:37.926804
7219980,521,2024,Harris,10,5:52:36.507746
7219979,521,2024,Court 4,6,4:13:37.492747
7219978,521,2024,Stadium,15,12:17:34.068480
7219977,556,2024,Grandstand,4,3:58:01.134104
7219976,556,2024,Court 5,3,3:00:00
7219975,556,2024,Harris,8,8:00:00
7219974,556,2024,Court 4,4,4:00:00
7219973,556,2024,Stadium,11,9:54:46.016399
7219972,577,2024,Grandstand,5,4:49:38.884407
7219971,577,2024,Court 5,1,1:00:00
7219970,577,2024,Harris,5,3:53:09.794295
7219969,577,2024,Court 4,2,2:00:00
7219968,577,2024,Stadium,12,11:55:05.799178
7219967,608,2024,Grandstand,3,3:00:00
7219966,608,2024,Court 5,3,1:23:37.926804
7219965,608,2024,Harris,5,1:25:54.812127
7219964,608,2024,Court 4,1,1:00:00
7219963,608,2024,Stadium,7,6:28:30.366129
7219962,592,2024,Grandstand,8,7:29:08.906098
7219961,592,2024,Court 5,4,4:00:00
7219960,592,2024,Harris,7,5:27:04.890562
7219959,592,2024,Court 4,4,2:05:46.212455
7219958,592,2024,Stadium,17,15:47:18.933891
7219957,566,2024,Grandstand,0,0:00:00
7219956,566,2024,Court 5,0,0:00:00
7219955,566,2024,Harris,0,0:00:00
7219954,566,2024,Court 4,0,0:00:00
7219953,566,2024,Stadium,0,0:00:00
7219952,564,2024,Grandstand,6,5:17:44.195771
7219951,564,2024,Court 5,2,2:00:00
7219950,564,2024,Harris,6,3:18:51.035868
7219949,564,2024,Court 4,5,5:00:00
7219948,564,2024,Stadium,9,9:00:00
7219947,611,2024,Grandstand,7,6:56:53.835766
7219946,611,2024,Court 5,2,"-1 day, 22:15:50.232545"
7219945,611,2024,Harris,7,6:49:40.161543
7219944,611,2024,Court 4,10,6:59:51.077947
7219943,611,2024,Stadium,8,7:01:48.492055
7219942,515,2024,Grandstand,10,9:41:51.482505
7219941,515,2024,Court 5,3,3:00:00
7219940,515,2024,Harris,5,3:49:00.247008
7219939,515,2024,Court 4,6,5:30:15.751599
7219938,515,2024,Stadium,17,17:00:00
7219937,601,2024,Grandstand,5,5:00:00
7219936,601,2024,Court 5,1,1:00:00
7219935,601,2024,Harris,1,1:00:00
7219934,601,2024,Court 4,3,3:00:00
7219933,601,2024,Stadium,3,2:12:15.840377
7219932,560,2024,Grandstand,2,2:00:00
7219931,560,2024,Court 5,1,1:00:00
7219930,560,2024,Harris,3,2:26:00.891266
7219929,560,2024,Court 4,2,1:55:26.013114
7219928,560,2024,Stadium,1,1:00:00
7219927,568,2024,Grandstand,0,0:00:00
7219926,568,2024,Court 5,0,0:00:00
7219925,568,2024,Harris,2,2:00:00
7219924,568,2024,Court 4,3,3:00:00
7219923,568,2024,Stadium,3,2:40:26.012832
7219922,581,2024,Grandstand,2,2:00:00
7219921,581,2024,Court 5,2,2:00:00
7219920,581,2024,Harris,3,3:00:00
7219919,581,2024,Court 4,2,1:36:17.691225
7219918,581,2024,Stadium,1,0:45:16.350832
7219917,582,2024,Grandstand,6,6:00:00
7219916,582,2024,Court 5,4,4:00:00
7219915,582,2024,Harris,9,7:27:17.131792
7219914,582,2024,Court 4,4,3:41:45.530318
7219913,582,2024,Stadium,8,7:18:06.129878
7219912,630,2024,Grandstand,5,5:00:00
7219911,630,2024,Court 5,4,4:00:00
7219910,630,2024,Harris,8,7:22:39.035054
